# dimensionless total [l(l+1)/2pi] C_l's
# for l=2 to 2500, i.e. number of multipoles equal to 2499
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                 
  262       6.439799449918e-10       5.902497346596e-13       1.227585115724e-11       0.000000000000e+00 
  263       6.402385615711e-10       6.075985633418e-13       1.244415509061e-11       0.000000000000e+00 
  264       6.364467432311e-10       6.252412510230e-13       1.260901251127e-11       0.000000000000e+00 
  265       6.326058610422e-10       6.431747241400e-13       1.277033891484e-11       0.000000000000e+00 
  266       6.287173178670e-10       6.613957409545e-13       1.292804959194e-11       0.000000000000e+00 
  267       6.247825485585e-10       6.799008898407e-13       1.308205963418e-11       0.000000000000e+00 
  268       6.208030201580e-10       6.986865875737e-13       1.323228394022e-11       0.000000000000e+00 
  269       6.167802320928e-10       7.177490776175e-13       1.337863722181e-11       0.000000000000e+00 
  270       6.127157163745e-10       7.370844284137e-13       1.352103400981e-11       0.000000000000e+00 
  271       6.086110377970e-10       7.566885316689e-13       1.365938866023e-11       0.000000000000e+00 
  272       6.044677941342e-10       7.765571006438e-13       1.379361536023e-11       0.000000000000e+00 
  273       6.002876163380e-10       7.966856684404e-13       1.392362813422e-11       0.000000000000e+00 
  274       5.960721687367e-10       8.170695862911e-13       1.404934084981e-11       0.000000000000e+00 
  275       5.918231492324e-10       8.377040218464e-13       1.417066722393e-11       0.000000000000e+00 
  276       5.875422894993e-10       8.585839574629e-13       1.428752082878e-11       0.000000000000e+00 
  277       5.832313551818e-10       8.797041884922e-13       1.439981509791e-11       0.000000000000e+00 
  278       5.788921460919e-10       9.010593215683e-13       1.450746333226e-11       0.000000000000e+00 
  279       5.745263923521e-10       9.226438196245e-13       1.461038648753e-11       0.000000000000e+00 
  280       5.701354364574e-10       9.444521430468e-13       1.470853697058e-11       0.000000000000e+00 
  281       5.657205351268e-10       9.664786124981e-13       1.480187608765e-11       0.000000000000e+00 
  282       5.612829619131e-10       9.887173612168e-13       1.489036639197e-11       0.000000000000e+00 
  283       5.568240072415e-10       1.011162333376e-12       1.497397170170e-11       0.000000000000e+00 
  284       5.523449784474e-10       1.033807282446e-12       1.505265711796e-11       0.000000000000e+00 
  285       5.478471998146e-10       1.056645769549e-12       1.512638904278e-11       0.000000000000e+00 
  286       5.433320126134e-10       1.079671161825e-12       1.519513519710e-11       0.000000000000e+00 
  287       5.388007751389e-10       1.102876630789e-12       1.525886463875e-11       0.000000000000e+00 
  288       5.342548627490e-10       1.126255150689e-12       1.531754778046e-11       0.000000000000e+00 
  289       5.296956679024e-10       1.149799496869e-12       1.537115640781e-11       0.000000000000e+00 
  290       5.251246001972e-10       1.173502244130e-12       1.541966369725e-11       0.000000000000e+00 
  291       5.205430864085e-10       1.197355765086e-12       1.546304423403e-11       0.000000000000e+00 
  292       5.159525705267e-10       1.221352228525e-12       1.550127403027e-11       0.000000000000e+00 
  293       5.113545137961e-10       1.245483597773e-12       1.553433054286e-11       0.000000000000e+00 
  294       5.067503947521e-10       1.269741629048e-12       1.556219269151e-11       0.000000000000e+00 
