# total [l(l+1)/2pi] C_l's (units: [microK]^2)
# for l=2 to 2500, i.e. number of multipoles equal to 2499
#
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (d), these are C_l^dd for the deflection field.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:BB                     5:TE                     6:dd                     7:dT                     8:dE                 
  121       4.923193899136e+03       9.843424789517e-01       0.000000000000e+00      -4.186071961428e+01       3.552364053855e-08       2.915427505547e-04      -1.698262069679e-06 
  122       4.971591659177e+03       9.955274716644e-01       0.000000000000e+00      -4.254635917483e+01       3.514060571393e-08       2.889350892612e-04      -1.700302412971e-06 
  123       5.020067980731e+03       1.006415506626e+00       0.000000000000e+00      -4.322336019916e+01       3.476430124390e-08       2.864013102554e-04      -1.702660842764e-06 
  124       5.068615831001e+03       1.016996739799e+00       0.000000000000e+00      -4.389116957318e+01       3.439464822746e-08       2.839324195695e-04      -1.705088137254e-06 
  125       5.117227411024e+03       1.027261445399e+00       0.000000000000e+00      -4.454923195085e+01       3.403126554951e-08       2.815173835424e-04      -1.707306852266e-06 
  126       5.165894132594e+03       1.037200022404e+00       0.000000000000e+00      -4.519698993143e+01       3.367344248798e-08       2.791430239458e-04      -1.709010106429e-06 
  127       5.214606595185e+03       1.046803001066e+00       0.000000000000e+00      -4.583388423677e+01       3.332011026218e-08       2.767939112151e-04      -1.709860346163e-06 
  128       5.263354562873e+03       1.056061049427e+00       0.000000000000e+00      -4.645935388868e+01       3.296981250610e-08       2.744522557849e-04      -1.709488090497e-06 
  129       5.312128179609e+03       1.064965290626e+00       0.000000000000e+00      -4.707284168041e+01       3.262119968373e-08       2.721022718682e-04      -1.707570078866e-06 
  130       5.360921814775e+03       1.073508280342e+00       0.000000000000e+00      -4.767381089345e+01       3.227470371419e-08       2.697443236711e-04      -1.704081078573e-06 
  131       5.409730597841e+03       1.081683149383e+00       0.000000000000e+00      -4.826173075822e+01       3.193117000969e-08       2.673828939751e-04      -1.699081031439e-06 
  132       5.458549203756e+03       1.089483311155e+00       0.000000000000e+00      -4.883607153723e+01       3.159135338546e-08       2.650222952088e-04      -1.692639649426e-06 
  133       5.507371838731e+03       1.096902470401e+00       0.000000000000e+00      -4.939630474030e+01       3.125590686445e-08       2.626666503240e-04      -1.684836816211e-06 
  134       5.556192226026e+03       1.103934631933e+00       0.000000000000e+00      -4.994190333972e+01       3.092537002738e-08       2.603198732593e-04      -1.675762994925e-06 
  135       5.605003591727e+03       1.110574109373e+00       0.000000000000e+00      -5.047234198546e+01       3.060015690105e-08       2.579856489920e-04      -1.665519642034e-06 
  136       5.653798650537e+03       1.116815533886e+00       0.000000000000e+00      -5.098709722032e+01       3.028054337791e-08       2.556674131776e-04      -1.654219627390e-06 
  137       5.702569591556e+03       1.122653862921e+00       0.000000000000e+00      -5.148564769513e+01       2.996665415989e-08       2.533683313780e-04      -1.641987660424e-06 
  138       5.751308064064e+03       1.128084388944e+00       0.000000000000e+00      -5.196747438396e+01       2.965844921936e-08       2.510912778765e-04      -1.628960722502e-06 
  139       5.800005163307e+03       1.133102748178e+00       0.000000000000e+00      -5.243206079924e+01       2.935570977036e-08       2.488388140817e-04      -1.615288505434e-06 
  140       5.848651416280e+03       1.137704929336e+00       0.000000000000e+00      -5.287889320701e+01       2.905802374279e-08       2.466131665190e-04      -1.601133856135e-06 
  141       5.897236767508e+03       1.141887282361e+00       0.000000000000e+00      -5.330746084208e+01       2.876477075284e-08       2.444162044102e-04      -1.586673227446e-06 
  142       5.945750564834e+03       1.145646527162e+00       0.000000000000e+00      -5.371725612320e+01       2.847510656238e-08       2.422494168406e-04      -1.572097135108e-06 
  143       5.994181545202e+03       1.148979762349e+00       0.000000000000e+00      -5.410777486825e+01       2.818794702037e-08       2.401138895146e-04      -1.557610620889e-06 
  144       6.042518854625e+03       1.151884714518e+00       0.000000000000e+00      -5.447852087851e+01       2.790231113077e-08       2.380105734784e-04      -1.543395143992e-06 
  145       6.090755251455e+03       1.154360495357e+00       0.000000000000e+00      -5.482901974653e+01       2.761846336886e-08       2.359411870881e-04      -1.529486870944e-06 
  146       6.138884193356e+03       1.156406936133e+00       0.000000000000e+00      -5.515880682494e+01       2.733696356625e-08       2.339074022476e-04      -1.515881298577e-06 
  147       6.186898823283e+03       1.158024363883e+00       0.000000000000e+00      -5.546742321772e+01       2.705832130838e-08       2.319105442205e-04      -1.502570065508e-06 
  148       6.234791961200e+03       1.159213611528e+00       0.000000000000e+00      -5.575441602054e+01       2.678299027756e-08       2.299515715060e-04      -1.489540762487e-06 
  149       6.282556095811e+03       1.159976027995e+00       0.000000000000e+00      -5.601933856104e+01       2.651136238911e-08       2.280310553723e-04      -1.476776739705e-06 
  150       6.330183376290e+03       1.160313488336e+00       0.000000000000e+00      -5.626175063914e+01       2.624376171785e-08       2.261491590477e-04      -1.464256911037e-06 
  151       6.377665604004e+03       1.160228403847e+00       0.000000000000e+00      -5.648121876729e+01       2.598043821211e-08       2.243056165697e-04      -1.451955555246e-06 
  152       6.424994224241e+03       1.159723732187e+00       0.000000000000e+00      -5.667731641081e+01       2.572156119220e-08       2.224997112914e-04      -1.439842114128e-06 
  153       6.472160317940e+03       1.158802987496e+00       0.000000000000e+00      -5.684962422815e+01       2.546721263068e-08       2.207302540463e-04      -1.427880987611e-06 
  154       6.519154593417e+03       1.157470250517e+00       0.000000000000e+00      -5.699773031122e+01       2.521738021138e-08       2.189955609696e-04      -1.416031325799e-06 
  155       6.565967378089e+03       1.155730178714e+00       0.000000000000e+00      -5.712123042564e+01       2.497195016439e-08       2.172934309789e-04      -1.404246817967e-06 
  156       6.612588610209e+03       1.153588016389e+00       0.000000000000e+00      -5.721972825107e+01       2.473069987413e-08       2.156211229112e-04      -1.392475478508e-06 
  157       6.659007830584e+03       1.151049604804e+00       0.000000000000e+00      -5.729283562148e+01       2.449329025751e-08       2.139753323183e-04      -1.380659429820e-06 
  158       6.705214174310e+03       1.148121392301e+00       0.000000000000e+00      -5.734017276545e+01       2.425925790957e-08       2.123521679198e-04      -1.368734682153e-06 
  159       6.751196362494e+03       1.144810444417e+00       0.000000000000e+00      -5.736136854648e+01       2.402800701335e-08       2.107471277138e-04      -1.356630910397e-06 
  160       6.796942693987e+03       1.141124454006e+00       0.000000000000e+00      -5.735606070326e+01       2.379880101150e-08       2.091550747455e-04      -1.344271227821e-06 
  161       6.842441898432e+03       1.137071755988e+00       0.000000000000e+00      -5.732389790796e+01       2.357098581027e-08       2.075714802543e-04      -1.331588022328e-06 
  162       6.887685797580e+03       1.132661351802e+00       0.000000000000e+00      -5.726454564115e+01       2.334472264013e-08       2.059963914854e-04      -1.318573323069e-06 
  163       6.932666864611e+03       1.127902906467e+00       0.000000000000e+00      -5.717768129806e+01       2.312036770581e-08       2.044309429244e-04      -1.305234672750e-06 
  164       6.977377379695e+03       1.122806754203e+00       0.000000000000e+00      -5.706299266404e+01       2.289824892870e-08       2.028761272077e-04      -1.291579637607e-06 
  165       7.021809425684e+03       1.117383908574e+00       0.000000000000e+00      -5.692017816316e+01       2.267866310173e-08       2.013327871108e-04      -1.277615793128e-06 
