# Table of selected background quantities
# All densities are multiplied by (8piG/3) (below, shortcut notation (.) for this factor) 
# Densities are in units [Mpc^-2] while all distances are in [Mpc]. 
#    1:z                      2:proper time [Gyr]      3:conf. time [Mpc]       4:H [1/Mpc]              5:comov. dist.           6:ang.diam.dist.         7:lum. dist.             8:comov.snd.hrz.         9:(.)rho_g              10:(.)rho_b              11:(.)rho_cdm            12:(.)rho_lambda         13:(.)rho_ur             14:(.)rho_crit           15:gr.fac. D             16:gr.fac. f          
       6.813638991932e+13       1.628086919267e-25       6.803020369262e-09       1.001655297486e+22       1.515460971389e+04       2.224158005998e-10       1.032580396540e+18       3.927355364686e-09       5.930557897776e+43       4.223545710769e+33       1.603627512058e+28       3.733861180667e-08       4.102575451612e+43       1.003313334981e+44       5.205698670056e-06       2.606482937388e+00 
       6.766275066466e+13       1.650959912396e-25       6.850314093754e-09       9.877780043033e+21       1.515460971389e+04       2.239727112040e-10       1.025402578491e+18       3.954846852238e-09       5.767368059232e+43       4.136078637154e+33       1.570417357544e+28       3.733861180667e-08       3.989685798210e+43       9.757053857855e+43       5.300347736784e-06       2.559938599221e+00 
       6.719240383780e+13       1.674154248205e-25       6.897607818246e-09       9.740929721379e+21       1.515460971389e+04       2.255405201825e-10       1.018274655900e+18       3.982530780203e-09       5.608668679067e+43       4.050422953658e+33       1.537894965217e+28       3.733861180667e-08       3.879902504213e+43       9.488571183685e+43       5.394996803512e-06       2.515027395726e+00 
       6.672532655193e+13       1.697674441238e-25       6.946720532142e-09       9.605975373360e+21       1.515460971389e+04       2.271193038237e-10       1.011196281926e+18       4.010408495664e-09       5.454336194339e+43       3.966541147488e+33       1.506046091937e+28       3.733861180667e-08       3.773140092625e+43       9.227476287361e+43       5.489645870241e-06       2.471664854420e+00 
       6.626149607938e+13       1.721525069463e-25       6.994014256634e-09       9.472890731475e+21       1.515460971389e+04       2.287091389505e-10       1.004167112141e+18       4.038481355133e-09       5.304250442161e+43       3.884396482720e+33       1.474856789533e+28       3.733861180667e-08       3.669315438497e+43       8.973565881047e+43       5.584294936969e-06       2.429772229769e+00 
       6.580088985043e+13       1.745710775163e-25       7.043126970530e-09       9.341649892142e+21       1.515460971389e+04       2.303101029232e-10       9.971868045097e+17       4.066750724618e-09       5.158294566142e+43       3.803952984207e+33       1.444313398691e+28       3.733861180667e-08       3.568347704214e+43       8.726642270736e+43       5.678944003697e-06       2.389276025940e+00 
       6.534348545226e+13       1.770236265843e-25       7.092239684425e-09       9.212227310656e+21       1.515460971389e+04       2.319222736436e-10       9.902550193741e+17       4.095217979690e-09       5.016354925399e+43       3.725175421827e+33       1.414402542975e+28       3.733861180667e-08       3.470158276548e+43       8.486513202320e+43       5.773593070425e-06       2.350107566498e+00 
       6.488926062787e+13       1.795106315142e-25       7.143171387725e-09       9.084597796218e+21       1.515460971389e+04       2.335457295591e-10       9.833714194380e+17       4.123884505547e-09       4.878321006084e+43       3.648029295050e+33       1.385111122964e+28       3.733861180667e-08       3.374670705457e+43       8.252991711906e+43       5.868242137153e-06       2.312202605748e+00 
       6.443819327494e+13       1.820325763763e-25       7.192284101620e-09       8.958736507032e+21       1.515460971389e+04       2.351805496660e-10       9.765356697497e+17       4.152751697085e-09       4.744085335330e+43       3.572480817835e+33       1.356426310522e+28       3.733861180667e-08       3.281810644556e+43       8.025895980244e+43       5.962891203882e-06       2.275500977086e+00 
       6.399026144483e+13       1.845899520418e-25       7.243215804920e-09       8.834618945469e+21       1.515460971389e+04       2.368268135137e-10       9.697474376859e+17       4.181820958964e-09       4.613543397580e+43       3.498496903825e+33       1.328335543171e+28       3.733861180667e-08       3.191505793234e+43       7.805049191164e+43       6.057540270610e-06       2.239946274319e+00 
